univNameCn,univNameEn,univTags,univCategory,province,score,ranking
清华大学,Tsinghua University,双一流 985 211,综合,北京,999.4,1
北京大学,Peking University,双一流 985 211,综合,北京,912.5,2
浙江大学,Zhejiang University,双一流 985 211,综合,浙江,825.3,3
上海交通大学,Shanghai Jiao Tong University,双一流 985 211,综合,上海,783.3,4
复旦大学,Fudan University,双一流 985 211,综合,上海,697.8,5
南京大学,Nanjing University,双一流 985 211,综合,江苏,683.4,6
中国科学技术大学,University of Science and Technology of China,双一流 985 211,理工,安徽,609.9,7
华中科技大学,Huazhong University of Science and Technology,双一流 985 211,综合,湖北,609.3,8
武汉大学,Wuhan University,双一流 985 211,综合,湖北,607.1,9
西安交通大学,Xi'an Jiaotong University,双一流 985 211,综合,陕西,570.2,10
四川大学,Sichuan University,双一流 985 211,综合,四川,561.7,11
中山大学,Sun Yat-Sen University,双一流 985 211,综合,广东,559.4,12
哈尔滨工业大学,Harbin Institute of Technology,双一流 985 211,理工,黑龙江,549.8,13
同济大学,Tongji University,双一流 985 211,理工,上海,548.4,14
北京航空航天大学,Beihang University,双一流 985 211,理工,北京,546.7,15
东南大学,Southeast University,双一流 985 211,综合,江苏,538.5,16
北京师范大学,Beijing Normal University,双一流 985 211,师范,北京,534.7,17
北京理工大学,Beijing Institute of Technology,双一流 985 211,理工,北京,530.9,18
中国人民大学,Renmin University of China,双一流 985 211,综合,北京,514.7,19
南开大学,Nankai University,双一流 985 211,综合,天津,497.4,20
天津大学,Tianjin University,双一流 985 211,理工,天津,490.8,21
山东大学,Shandong University,双一流 985 211,综合,山东,484.3,22
中南大学,Central South University,双一流 985 211,综合,湖南,475.8,23
西北工业大学,Northwestern Polytechnical University,双一流 985 211,理工,陕西,467.9,24
华南理工大学,South China University of Technology,双一流 985 211,理工,广东,466.7,25
厦门大学,Xiamen University,双一流 985 211,综合,福建,458.8,26
吉林大学,Jilin University,双一流 985 211,综合,吉林,450.3,27
华东师范大学,East China Normal University,双一流 985 211,师范,上海,440.7,28
