平台,经营单位,仓库,结算方式,运输方式,发货状态,物流录入的结算方法,是否拒收入库完成,是否直销单,是否是多客户出货,是否退改赠,是否手机下的订单,是否代垫发货,发货单据来源,单据来源互联互通,WMS系统发货单状态,需要物流流程,是否医疗分销,time
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYCSHXTCZMZG-新燎原长沙红星通程丸美专柜,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-01 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYCDCTBHZMZG-新燎原常德春天百货丸美专柜,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-01 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYZSRMLYABHWMZJC-新燎原长沙人民路友阿百货丸美专柜仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-01 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYZSXSTCWMZJC-新燎原长沙星沙通程丸美专柜仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-01 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,AG6019-长沙车销仓（湘AG6019）,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,HYZCC-衡阳正常仓,WDS,H01,CLO,WDS,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,HYZCC-衡阳正常仓,YDS,H01,CLO,YDS,Y,N,Y,N,Y,N,MOB,N,CLO,Y,N,2020-01-01 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,HYZCC-衡阳正常仓,EAX,H01,CLO,EAX,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,AG6019-长沙车销仓（湘AG6019）,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-02 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYDXC-新燎原代销仓,MON,H01,CLO,MON,N,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-02 15:18:17
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYHHPXMC-新燎原CS渠道仓,EAX,H01,WBG,EAX,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,AG6019-长沙车销仓（湘AG6019）,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,AG6019-长沙车销仓（湘AG6019）,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-02 00:00:00
01020AJJ-金之津,R100-湖南金之津供应链,SDHNXZJW-金之津总部正常仓,WDS,H01,CLO,WDS,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,AG6019-长沙车销仓（湘AG6019）,YDS,H01,WBG,YDS,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-02 00:00:00
01020AXH-怀化鑫星火,CP00-怀化鑫星火供应链,HHXXHZBZCC-怀化鑫星火总部正常仓,YDS,H01,CLO,YDS,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYZZDDBBGBLYZG-新燎原株洲东都步步高珀莱雅专柜,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-02 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYYYKXBHZMZG-新燎原岳阳康星百货丸美专柜,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-02 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYXTJJYBBGZMZG-新燎原湘潭基建营步步高丸美专柜,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-02 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYYYBSZMZG-新燎原岳阳百盛丸美专柜,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,HLHT,Y,CLO,Y,N,2020-01-02 10:16:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,HLHT,Y,CLO,Y,N,2020-01-02 09:55:04
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,A01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,SDXWTGR-鑫梧桐基地WMS正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYZSXSTCWMZJC-新燎原长沙星沙通程丸美专柜仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,YDS,H01,CLO,YDS,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-02 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,AG6019-长沙车销仓（湘AG6019）,YDS,H01,CLO,YDS,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-03 00:00:00
01020AGH-株洲金巢,GH00-株洲金巢,SDZZJCZBZCC-株洲金巢总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-01 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-02 00:00:00
