打印次数,发货小包装数量,发货金额,发货毛重,发货体积,发货大包装数量,调整单对应的原单,代垫费用应收金额,WMS系统实际拣货数量,发货单WMS系统锁定库存优先级,折扣金额,provience,time
0,80,30598.0,1.8,0.2378,80.0,194293032,0.0,0,5,8143.0,湖南,2020-01-01 00:00:00
0,67,30067.0,1.2798,0.3002,67.0,194293095,0.0,0,5,11226.0,湖南,2020-01-01 00:00:00
0,75,42911.0,1.2705,0.2911,75.0,194293101,0.0,0,5,4021.0,湖南,2020-01-01 00:00:00
0,29,13414.0,0.5429,0.0833,29.0,194293111,0.0,0,5,5215.0,湖南,2020-01-01 00:00:00
1,4,31.32,1.0,0.00166667,0.16666667,194302082,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,4,384.0,1.0,0.01333333,0.66666667,194309935,0.0,4,5,0.0,湖南,2020-01-02 00:00:00
1,60,1500.0,65.0,0.3,10.0,194287155,0.0,60,5,0.0,湖南,2020-01-01 00:00:00
1,2590,7785.0,344.7,6.428255,75.0,194303235,0.0,2590,5,0.0,湖南,2020-01-02 00:00:00
1,112,833.6,24.3,4.01,5.0,194323388,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
0,1,0.0,0.0336,0.003,1.0,194329875,0.0,0,5,0.0,湖南,2020-01-02 15:18:17
1,1,26.0,0.51,0.01,1.0,194322285,0.0,1,5,0.0,湖南,2020-01-02 00:00:00
1,70,910.0,23.0,0.02,10.0,194317939,0.0,70,5,0.0,湖南,2020-01-02 00:00:00
1,67,716.1,24.67566667,0.217833,5.43333333,194319999,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,121,955.06,34.35750001,2.07202467,7.7,194322021,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,1920,18560.0,1680.0,2.656,160.0,194299027,0.0,1920,5,0.0,湖南,2020-01-02 00:00:00
1,62,294.6,15.83333334,2.00783333,3.25,194336136,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,3,2580.0,0.5,0.5,0.5,194315714,0.0,3,5,0.0,湖南,2020-01-02 00:00:00
0,8,2993.0,2.0446,0.2224,8.0,194375501,0.0,0,5,120.0,湖南,2020-01-02 00:00:00
0,3,824.0,0.0356,0.005,3.0,194375503,0.0,0,5,824.0,湖南,2020-01-02 00:00:00
0,38,14912.0,1.6401,1.243,38.0,194375509,0.0,0,5,11661.0,湖南,2020-01-02 00:00:00
0,10,4110.0,0.173,0.02,10.0,194375513,0.0,0,5,2058.4,湖南,2020-01-02 00:00:00
2,52,581.6,10.66,0.15173,3.0,194308059,0.0,52,5,0.0,湖南,2020-01-02 10:16:00
1,12,132.0,2.56,0.03,1.0,194305919,0.0,12,5,0.0,湖南,2020-01-02 09:55:04
1,128,750.72,16.4,0.08,4.0,194299390,0.0,128,5,0.0,湖南,2020-01-02 00:00:00
1,24,230.4,1.15,0.02,1.0,194299555,0.0,24,5,0.0,湖南,2020-01-02 00:00:00
